ticker,in_orats,in_polygon,source
NPCE,1,1,both
NPCT,0,1,polygon
NPD,1,0,orats
NPFD,0,1,polygon
NPK,0,1,polygon
NPKI,1,0,orats
NPO,1,1,both
NPSP,1,0,orats
NPTN,1,0,orats
NPV,0,1,polygon
NPWR,1,1,both
NPWR.WS,0,1,polygon
NQ,1,0,orats
NQP,0,1,polygon
NR,1,1,both
NRAC,0,1,polygon
NRACW,0,1,polygon
NRBO,1,1,both
NRC,1,1,both
NRDS,1,1,both
NRDY,1,1,both
NRE,1,0,orats
NREF,1,1,both
NREFpA,0,1,polygon
NRF,1,0,orats
NRG,1,1,both
NRGD,0,1,polygon
NRGM,1,0,orats
NRGU,0,1,polygon
NRGV,1,1,both
NRGY,1,0,orats
NRIM,0,1,polygon
NRIX,1,1,both
NRK,0,1,polygon
NRMX,1,0,orats
NRO,0,1,polygon
NRP,1,1,both
NRPH,1,0,orats
NRSH,0,1,polygon
NRSN,0,1,polygon
NRT,1,1,both
NRTLQ,1,0,orats
NRUC,0,1,polygon
NRXP,1,1,both
NRXPW,0,1,polygon
NRXS,0,1,polygon
NRZ,1,0,orats
NS,1,1,both
NSA,1,1,both
NSAM,1,0,orats
NSANY,1,0,orats
NSApA,0,1,polygon
NSC,1,1,both
NSCO,1,0,orats
NSCS,0,1,polygon
NSH,1,0,orats
NSI,0,1,polygon
NSIT,1,1,both
NSLP,1,0,orats
NSM,1,0,orats
NSP,1,1,both
NSPH,1,0,orats
NSPI,0,1,polygon
NSPR,1,1,both
NSPY,1,0,orats
NSR,1,0,orats
NSS,0,1,polygon
NSSC,1,1,both
NST,1,0,orats
NSTB,1,1,both
NSTC,1,0,orats
NSTG,1,1,both
NSTR,1,0,orats
NSTS,0,1,polygon
NSU,1,0,orats
NSYS,0,1,polygon
NSpA,0,1,polygon
NSpB,0,1,polygon
NSpC,0,1,polygon
NT,1,0,orats
NTAP,1,1,both
NTB,1,1,both
NTBK,1,0,orats
NTBKQ,1,0,orats
NTBL,0,1,polygon
NTCO,1,1,both
NTCT,1,1,both
NTE,1,0,orats
NTEC,1,0,orats
NTES,1,1,both
NTG,1,1,both
NTGN,1,0,orats
NTGR,1,1,both
NTI,1,0,orats
NTIC,0,1,polygon
NTIP,0,1,polygon
NTKI,0,1,polygon
NTLA,1,1,both
NTLI,1,0,orats
NTLS,1,0,orats
NTLSD,1,0,orats
NTMD,1,0,orats
NTNX,1,1,both
NTO,1,0,orats
NTP,1,0,orats
NTR,1,1,both
NTRA,1,1,both
NTRB,0,1,polygon
NTRBW,0,1,polygon
NTRI,1,0,orats
NTRL,1,0,orats
NTRP,1,0,orats
NTRS,1,1,both
NTRSO,0,1,polygon
NTSE,0,1,polygon
NTSI,0,1,polygon
NTSK,1,0,orats
NTSP,1,0,orats
NTST,1,1,both
NTSX,1,1,both
NTT,1,0,orats
NTTYY,1,0,orats
NTUS,1,0,orats
NTWK,1,1,both
NTY,1,0,orats
NTZ,0,1,polygon
NTZO,1,0,orats
NU,1,1,both
NUAG,0,1,polygon
NUAI,1,0,orats
NUAN,1,0,orats
NUBD,0,1,polygon
NUBI,0,1,polygon
NUCL,1,0,orats
NUCO,1,0,orats
NUDM,0,1,polygon
NUDV,0,1,polygon
NUE,1,1,both
NUEM,0,1,polygon
NUG,1,0,orats
NUGO,0,1,polygon
NUGT,1,1,both
NUHY,0,1,polygon
NUKK,0,1,polygon
NUKKW,0,1,polygon
NUKZ,1,0,orats
NULC,0,1,polygon
NULG,0,1,polygon
